title;solved;total_steps;pushes;nodes_visited;nodes_left_in_frontier;processing_time_seconds;solution_string
Title: Soko 01;1;1;1;1;2;0.0;U
Title: Soko 02;1;8;2;13;4;0.0002;lluuRurD
Title: Soko 03;1;122;21;938;132;0.0249;LruurrddLruulllldlddrUUUUddldllluurururRRlddrruUllddddrRRluuuurrdddrddlUUUUddrdrrruulululLLrddllddlluuuurRUdddrruuLrddlluU
