title;solved;total_steps;pushes;nodes_visited;nodes_left_in_frontier;processing_time_seconds;solution_string
Title: Soko 01;1;1;1;1;1;0.0;U
Title: Soko 02;1;10;2;83;6;0.0008;uuulldRurD
Title: Soko 03;1;234;27;1333498;195;15.9546;RRRdluuuuurrdrdrddlLrruululullddllddLrrrRdluuuuurrdrdrddlLrruululullddlluulldddlddrUdlullluurururrddrrddrrRRldluuuuullddddllUUUddddlullluurururRddddrrrrdruuluuurrdrdrddLLLdlUUUUddddrurrruulululLLrddddlluuuUUdddddlldluuruuuRlddddrruuuU
