title;solved;total_steps;pushes;nodes_visited;nodes_left_in_frontier;processing_time_seconds;solution_string
Title: Soko 01;1;1;1;2;3;0.0003;U
Title: Soko 02;1;8;2;17;2;0.0001;lluuRurD
Title: Soko 03;1;78;17;15640;70;14.9151;LrRluulldlddrUUUUddldllluurururRRlddrruUUdrrdddrddlUUUUddrdrrruulululLLrddlluU
Title: Soko 04;0;0;0;61946;48410;300;
