title;solved;total_steps;pushes;nodes_visited;nodes_left_in_frontier;processing_time_seconds;solution_string
Title: Soko 01;1;1;1;1;2;0.0001;U
Title: Soko 02;1;8;2;13;4;0.0004;lluuRurD
Title: Soko 03;1;100;19;664;92;0.0288;LruurrddLruulllldlddrUUUUddldllluurururRRlddrruUUdddrrdrdllLLruulldlddrUUUUddddlullluurururRRlddrruU
