title;solved;total_steps;pushes;nodes_visited;nodes_left_in_frontier;processing_time_seconds;solution_string
Title: Soko 01;1;1;1;8;1;0.0001;U
Title: Soko 02;1;10;2;13;6;0.0001;uuulldRurD
Title: Soko 03;1;1016;81;2371;833;0.3413;RRRdluuuuurrdrdrddlLrruululullddllddLrrrRdluuuuurrdrdrddlLrruululullddlluulldddlddrUdlullluurururrddrrddrrRdluuuuurrdrdrddlLLdlUdrurrruululullddDuuullddddlldlullluurururrddDurrddlLrrrRRdluuuuurrdrdrddlLrruululullddllddllLdrurrrrRdluuuuurrdrdrddlLLdlUdrurrruululullddDuuullddddlldluuruuulldldlddrRRRdluururrrrdrddlUdrurrruululullddllddLrrrdrurrruululullddDrdLdrurrruululullddllddlLrruurrdddrurrruulululllllllldldlddrrRdrUdlullluurururrddrrrrddLrdrurrruululullddlluullddDurrrrdddrurrruulululllllllldldlddrrrdrUUddlullluurururrrrddrrddlLrrdrurrruululullddlluulldDDurrddrrdrurrruulululllllllldldlddrrrdrUdlullluurururrrrddddLLUdrrrrdrurrruululullddlluulllldldlddrrRRdluurUdddlullluurururrrrddddLrrrdrurrruululullddlluulllldldlddrrrdrUdlullluurururrrrddllDuUddlddrUdlullluurururRddDurrddrrdrurrruululullllLLdddlddrUUddlullluururuRRRRddddrrdrurrruululullLrddddlluuuUddddlldluurUdddlullluurururrDDDurrddrrdrurrruululullllUdddddlLrrrrdrurrruululullddlluulllldldlddrrRdrUUUUddddlullluurururRRRddddrrdrurrruululullLrddddlluuuU
Title: Soko 04;0;0;0;56598;924;300;
